0.5, 1104.0097412931643, 98.99999999999999, 103.84854975, 104.0858828074287, 109.18958264412821
1.0, 1218.7043378702874, 109.18213662044623, 114.51772512432511, 114.77831561523257, 120.39336136317714
1.5, 1345.152384129608, 120.38519352388488, 126.25411609381128, 126.54004786416029, 132.71475611609472
2.0, 1484.5230222978655, 132.7058034764312, 139.15818141474955, 139.47168233780383, 146.25829802800695
2.5, 1638.094022767964, 146.24849362605414, 153.3384618961206, 153.68190407299747, 161.13677725630052
3.0, 1807.2602045698452, 161.12605024936826, 168.91192274099373, 169.28781996599065, 177.47155514795105
3.5, 1993.5421330127572, 177.45983100996267, 186.0042334720613, 186.4152352408128, 195.39280222176157
4.0, 2198.595007623905, 195.38000306517864, 204.74996161397956, 205.1988428339722, 215.0396357058055
4.5, 2424.2176246798163, 215.02568075484174, 225.2926513935193, 225.78229683121657, 236.56012513115508
5.0, 2672.3612642565126, 236.54493137617337, 247.7847531771713, 248.31813554827613, 260.1111286331113
